look,count,rate,ci95
1,9942,0.09942,"[0.09758077697052409, 0.10128999807880257]"
2,17743,0.17743,"[0.17507458742953264, 0.17981019440595913]"
3,23578,0.23578,"[0.2331592415042376, 0.2384210575210085]"
4,28348,0.28348,"[0.28069502065198715, 0.28628161376231276]"
5,32076,0.32076,"[0.3178739233004596, 0.32365984703216144]"
6,35514,0.35514,"[0.35217955166929754, 0.3581115773776981]"
7,38348,0.38348,"[0.38047087890784576, 0.38649807288392507]"
8,40825,0.40825,"[0.405207227208195, 0.4112998215979754]"
9,43075,0.43075,"[0.4276836093175114, 0.43382171089859006]"
10,45040,0.4504,"[0.44731827441296845, 0.45348553616780607]"
11,46972,0.46972,"[0.4666279351650675, 0.4728143911330345]"
12,48594,0.48594,"[0.4828428498503729, 0.4890382303263548]"
