look,count,rate,ci95
1,4981,0.04981,"[0.04847883041645511, 0.05117575598190818]"
2,7907,0.07907,"[0.07741361878753744, 0.08075871967547388]"
3,9945,0.09945,"[0.09761052694660745, 0.10132024579793246]"
4,11547,0.11547,"[0.11350396157840542, 0.11746558041000535]"
5,12860,0.1286,"[0.12653945210760828, 0.1306890811524644]"
6,13946,0.13946,"[0.13732671547837783, 0.14162098344888824]"
7,14877,0.14877,"[0.14657788033805366, 0.15098910333705498]"
8,15642,0.15642,"[0.15418177813037967, 0.15868461782410545]"
9,16358,0.16358,"[0.16130034580751243, 0.16588550007119965]"
10,17032,0.17032,"[0.1680027800275902, 0.1726625480423634]"
11,17609,0.17609,"[0.1737416759897197, 0.17846320879291397]"
12,18141,0.18141,"[0.17903382583722183, 0.1838106502298933]"
